ticket_id,review,category,rating,emotion,confidence,priority
TKT-0008,The company should give more Bettany backup and screen saver,mobile,2,anger/sadness,43.93%,HIGH
TKT-0023,Product not working. Carrier not getting detected at all. Please look into it.,smartTv,1,anger/sadness,68.81%,HIGH
TKT-0031,Worst product!!!! Just becz of rain i got water damage!!! And apple service also waste of time !!! T,smartTv,1,anger/sadness,96.97%,HIGH
TKT-0033,Phone is ok... But there are lot of problems specially in network department.. i use airtel 4g but i,mobile,3,anger/sadness,72.31%,HIGH
TKT-0040,"Got pirated copy as there was no hologram and quality of print and pages also bad, so returned it.",books,1,anger/sadness,81.85%,HIGH
TKT-0059,Bass is not good. Noise are more and more. After 20 minutes start pain in ear.,mobile,1,anger/sadness,60.33%,HIGH
TKT-0076,It’s worthy...M not at all disappointed,mobile,4,anger/sadness,51.46%,HIGH
TKT-0079,Frequently gets hang.. Speaker is too bad..,mobile,2,anger/sadness,74.41%,HIGH
TKT-0080,Default in mobile already use by other customer,smartTv,1,anger/sadness,54.85%,HIGH
TKT-0085,Don't buy,mobile,1,anger/sadness,96.86%,HIGH
TKT-0090,The phone was not getting power on.. I have returned the product the next day of delivery... But the,mobile,1,anger/sadness,93.90%,HIGH
TKT-0091,"I dont know whether is it product defect or not , hearing positive review i purchased this phone on ",mobile accessories,1,anger/sadness,58.77%,HIGH
TKT-0094,the worst phone.. if anbody planning to buy this plz contact me i will give you in 5-6k. qki is phon,mobile,1,anger/sadness,56.46%,HIGH
TKT-0097,"Now 2 years for product, band working properly",refrigerator,5,anger/sadness,56.55%,HIGH
TKT-0099,Amazon service is very poor. being a prime customer they took 4 days to deliver the product. After r,mobile,1,anger/sadness,96.57%,HIGH
TKT-0101,This is very good phone instead of going for chinese lcd display and poor cameras despite mentioning,mobile accessories,5,anger/sadness,57.44%,HIGH
TKT-0104,"Worst mobile, dnt support many apps, n functioning is irritating, fed up of this mobile, money waste",mobile,1,anger/sadness,93.52%,HIGH
TKT-0117,"It is a OK product though works slow after 2 month, all features of remote don't work.",smartTv,3,neutral,51.75%,MEDIUM
TKT-0121,Very bad phone color os was very very bad only for selfie lovers other person's please don't buy,mobile,1,anger/sadness,82.22%,HIGH
TKT-0123,Mic quality is very bad you have to hold mic near your lips otherwise you will not audible to opposi,mobile accessories,3,anger/sadness,53.41%,HIGH
TKT-0133,Hell product,smartTv,1,anger/sadness,52.55%,HIGH
TKT-0135,"The sound quality is very poor. Not only that, Always gets a hissing and cracking sound when any mus",smartTv,2,anger/sadness,41.76%,HIGH
TKT-0140,This phone is automatically off. And not on a long time. I had complained against this issue but ama,mobile accessories,1,anger/sadness,88.76%,HIGH
TKT-0154,M20 is better for This Price....But charging problem is big issue.. 1st week full charging time is 2,mobile accessories,4,anger/sadness,58.43%,HIGH
TKT-0157,This device has a lot of issues. The network reception is pretty weak. Touch is also poor and every ,mobile,2,anger/sadness,72.40%,HIGH
TKT-0159,Not satisfied with the product. Communication is not proper. Very difficult to hear voices to caller,smartTv,2,anger/sadness,48.11%,HIGH
TKT-0163,Worst experience and bad product. Even for 1st boot its not loading and in boot loop for hours. With,mobile accessories,1,anger/sadness,89.37%,HIGH
TKT-0169,"I like the way the phone is charging, very fast. I dislike that the phone is sometimes operate very ",mobile,3,anger/sadness,62.17%,HIGH
TKT-0172,I purchased it before 6 month but i am facing problem of Youtube it is not being open showing out of,smartTv,1,anger/sadness,84.33%,HIGH
TKT-0174,Bettery failed,mobile,2,anger/sadness,65.30%,HIGH
TKT-0180,It's a very worst product .. it's automatically switch off and switch on and I complained about the ,mobile,1,anger/sadness,98.38%,HIGH
TKT-0189,Bought this in flash sale when mobile was released. Been using for more than 8 months! Battery is pa,mobile,4,anger/sadness,47.81%,HIGH
TKT-0195,Its a gaming laptop snd still hangs while working on photoshop! How will it support my other 3d soft,smartTv,1,anger/sadness,70.75%,HIGH
TKT-0197,Brought broken piece. LED panel os Physically damaged,refrigerator,1,anger/sadness,66.41%,HIGH
TKT-0203,Microphone not working in the first month itself.,mobile,2,anger/sadness,88.85%,HIGH
TKT-0210,"Only within a month of purchase, tv is geting hanged frequently. Got shut down with a cracking voice",smartTv,2,anger/sadness,94.16%,HIGH
TKT-0221,"Very bad phone it is. I purchased it from Jaipur in January 2017 , I am not happy with its performan",mobile accessories,1,anger/sadness,85.74%,HIGH
TKT-0227,"I have bought it EOS80D, when I tried to register it with Canon EDGE, It is astonishing to see the m",refrigerator,2,anger/sadness,71.24%,HIGH
TKT-0228,Phone is too slow. Using more RAM than expected. When I am using amazon app iy says 1.6 GB of 4GB av,mobile,2,anger/sadness,73.20%,HIGH
TKT-0246,It stopped working during updating on the very first day I received it before descending into being ,smartTv,1,anger/sadness,91.71%,HIGH
TKT-0252,"Very pathetic phone, automatically switch off anytime and doesn't start",mobile,1,anger/sadness,95.85%,HIGH
TKT-0256,Please note that I am putting my pathatic review after using the phone for last 6 days. I don't know,mobile,2,anger/sadness,83.40%,HIGH
TKT-0269,The only reason behind purchasing this was the step counting. And to my utter disappointment it's pe,mobile,2,anger/sadness,91.08%,HIGH
TKT-0275,Build quality is poor,smartTv,4,anger/sadness,61.94%,HIGH
TKT-0283,There is no user manual with the product and none is available online. I am unable to use it for tra,mobile,1,anger/sadness,64.16%,HIGH
